Name volume bandgap delta_e 
1-C  11.41 4.339 0.136
2-Nb  18.306 0 0
3-Si  40.888 0.853 0
4-B2Ru  54.562 0 -0.286
5-BW2  75.001 0 -0.262
6-AlCr2 37.832 0 -0.122
7-BMo 83.652 0 -0.502
8-ZrMo2 111.004 0 -0.139
9-B2Mo 55.491 0 -0.432
10-BMo2 73.919 0 -0.317
11-B2Os 55.628 0 -0.213
12-Y3Al5O12 891.981 4.495 -3.691
13-LaBRh3 78.968 0 -0.712
14-NdBRh3 77.505 0 -0.711
15-LuBRh3 72.835 0 -0.847 
16-ErBRh3 73.750 0 -0.828
17-Ni2Mo3N  295.426 0 -0.321
18-Ti3SiC2 145.246 0 -0.825
19-BW 84.330 0 -0.368
20-B5W2 59.524 0 0.249
21-Er(BRh)4 212.013 0 -0.591
22-U(Al10V)2 753.439 0 -0.184
23-GdBRh3 75.417 0 -0.767
24-Al8Cr5 373.356 0 -0.040
25-ErGePd2 293.794 0 -0.918
26-Ge3Ru2 625.279 0.363 -0.356
27-B4W 161.310 0 0.401
28-YBRh3 74.847 0 -0.789
29-Fe3Mo3N 335.984 0 -0.189
30-Lu2Fe14C  875.771 0 0.099
31-Ti5Ge3 260.811 0 -0.698
32-B2W 111.194 0 -0.333
33-ScBRh3 70.467 0 -0.769
34-Cr11Ge8 1021.275 0 0.040
35-V17Ge31 2950.262 0 -0.204
36-YInCu4 94.966 0 -0.271
37-CrB4  73.917 0 -0.309
38-Fe2Mo 147.337 0 0.040
39-TmB12 104.228 0 -0.252
40-NdGePd2 314.648 0 -0.873
41-B3Rh7 239.278 0 -0.253
42-SmGePd2 305.233 0 -0.891
43-Sr2GdCu2RuO8 351.607 0 -2.277
44-Zr5Ge4 706.625 0 -0.847
45-TbGePd2 299.499 0 -0.914
46-ZrAlMo 217.237 0 -0.344
47-ThAl2Fe3 95.740 0 -0.184
48-ThAl2Co3 91.503 0 -0.403
49-ThMn3Al2 99.811 0 -0.199
50-LaMnNi4 89.368 0 -0.066
51-LaMgAl11O19 614.701 4.186 -3.474
52-Al3BC3 485.743 1.819 -0.093
