Name Energy_pa volume bandgap delta_e stability
1-HfGe3 -6.87414691833 18.0607 0.0 -0.473228933333 -0.050315252746
2-Mn2B -6.76785779538 8.01838 0.0 -0.251518979487 -0.0230622843476
3-YMn2Si2 -7.86967357333 13.5546 0.0 -0.199358362778 0.0725963724473
4-YReB4 -6.99144713 10.2055 0.0 -0.562412695714 -0.156453112031
5-YRh3C -7.95371914333 16.9642 0.0 -0.163856628333 -0.0219553023181
6-YSi -4.3182672625 18.8495 0.0 -0.37791728625 0.0174648325
7-ZnSe -7.84524109333 12.7503 0.0 -0.192463256667 0.10866917172
8-ZnTe -5.10616241 9.53334 0.0 -0.140012039722 -0.0201661786882
9-Zr2Rh -8.6481736325 8.7668 0.0 -0.404248941695 -0.0711957901512
10-Zr3Ge -8.35201564 8.35189 0.0 -0.499580226897 -0.0943119584732
11-Zr5Ge3 -7.74974563667 7.53716 0.0 -0.288799501264 0.0833542732719
12-ZrB12 -8.75102133792 13.4834 0.0 -0.248116462141 -0.0741310125774
13-MnB -9.18897902542 13.6597 0.0 -0.393060372974 -0.053774835434
14-ZrB2 -8.546721385 15.4523 0.0 -0.09479964 0.178702355072
15-ZrC -8.27434420933 17.2573 0.0 -0.296489682667 -0.0740962731763
16-ZrGe -9.362198077 12.8425 0.0 -0.634663809 -0.015847465
17-ZrGe2 -8.5068398825 17.4519 0.0 -0.17844420875 0.049375505
18-ZrMn2 -9.000758995 17.3319 0.0 -0.27440180375 0.0493668462022
19-ZrMo2 -7.78217767875 17.0084 0.0 -0.336540198125 0.0051893725
20-ZrN -8.52823272938 17.0082 0.0 -0.4856529725 -0.129936266475
21-ZrO2 -7.93841672062 18.5947 0.0 -0.272217637963 -0.0236254315991
22-ZrRh3 -9.15946025 11.5293 0.0 -0.77352043 -0.062736082566
23-ZrV2 -9.74423631333 13.8204 0.0 -0.0406323066667 -0.0406323066667
24-MnB2 -6.78935798778 16.4466 0.0 -0.342258911111 -0.0832442514594
25-ZrW2 -10.284464645 10.9806 0.0 -1.17763809767 -0.0840545032382
26-TiAlAu -6.87993407143 10.0339 0.0 -0.475545240714 -0.0727715992026
27-BaHfO3 -7.85692055 15.7995 0.0 -0.124564443333 0.0195297113224
28-BaB6 -7.300326466 16.4381 0.0 -0.567024886517 -0.03800571625
29-BaSnO3 -6.23113259333 8.83197 0.0 -0.29406372 -0.0194879498404
30-Be2B1 -6.11131959625 9.4766 0.0 -0.26686306125 -0.0367644754089
31-CaB6 -6.88982118143 10.1236 0.0 -0.483733739643 -0.0939033044737
32-CeAlO3 -7.84234305333 16.2201 0.0 -0.106023520833 0.0168715208548
33-CeB6 -7.283937598 16.6499 0.0 -0.548257963017 -0.02760262525
34-CeC2 -11.183401295 12.4666 0.0 -0.19679524375 -0.0206492244546
35-Mo3Pd2N -10.9107387105 12.0663 0.0 -0.211375224 0.0122213119656
36-CeRh3 -9.01305754333 9.14651 0.0 -0.420139531667 -0.31948476375
37-Co2B -8.33655573 11.3326 0.0 -0.2749632605 0.10892654716
38-Co3B -7.96501596278 9.70345 0.0 -0.726420548889 -0.0273941447167
39-CoB -7.94513091346 11.1116 0.644 -2.46259635649 0.0113856661731
40-Cr2B -6.86267317308 7.78294 0.0 -0.211597931154 -0.0181046406425
41-Cr2B3 -7.39990395333 10.009 0.0 -0.838469838333 -0.59151709245
42-Cr3B4 -8.63176701083 16.2817 0.0 -0.3876520825 -0.0317597600593
43-Cr3C2 -7.979440468 13.8095 0.0 -0.5087089765 -0.0164640375
44-Cr5B3 -8.12651325 11.8085 None -1.80400072931 -0.0317767685795
45-CrB -8.17916908143 10.4366 4.425 -1.21436311805 0.000148695
46-Mo3Pt2N -7.52988941167 10.439 2.152 -0.208905147917 -0.208905147917
47-Cr2B -7.89738376833 13.9352 6.259 -3.07355594725 -0.712226146508
48-CrB4 -8.30091504625 16.2187 3.977 -3.70103073478 -1.00255219563
49-DyB12 -6.85252699286 9.929 0.0 -0.455016555357 -0.0366298841014
50-DyC2 -7.86987286667 15.0541 0.0 -0.153566344167 0.0230438608896
51-ErB12 -7.31803761 16.0895 0.0 -0.594365781017 -0.05284620075
52-ErC2 -6.41553462286 10.5173 0.312 -0.451146154286 -0.451146154286
53-EuB6 -7.184877359 11.6925 0.0 -2.88174585358 -0.00150989790734
54-Gd2Co17 -10.456418712 12.7164 0.0 -0.673714058 -0.020903892
55-GdC2 -9.66660293571 10.4305 0.0 -0.770966017143 -0.0126190708321
56-GdCo2 -10.0812611825 11.3608 0.0 -0.8160127075 -0.0636114235772
57-MoPt -9.05182252667 9.20327 0.0 -0.649001016667 -0.0493607793979
58-GdCo3 -11.11807113 11.2169 0.0 -0.58326844875 -0.129078648442
59-GdCo5 -10.415648085 13.7525 0.0 -0.125838308333 -0.107801919703
60-Hf2Ge -11.26789643 11.446 0.0 -1.28176122767 -0.0896676249077
61-Hf3Ge -6.80150920714 9.7815 0.0 -0.322143173524 0.0215133945851
62-Hf3Ge2 -7.329601754 15.6765 0.0 -0.491332090451 -0.0642873452176
63-Hf5Ge3 -7.27060755714 9.86676 0.0 -0.48763289 -0.0365121265896
64-HfB2 -8.595273865 19.077 0.0 -0.28022727375 -0.0548308984016
65-HfC -8.87166683667 15.4753 0.0 -0.255943778333 -0.0305476274797
66-HfCr2 -10.8389790267 19.7549 0.0 -0.0860940466667 -0.0860940466667
67-HfGe -7.038433605 16.493 0.0 -0.32845540034 2.578375e-05
68-Nb2Al -8.53595734083 12.348 0.0 -0.843954352726 -0.0281608566719
69-Nb3B2 -8.65028158417 12.0596 0.0 -0.82474527106 -0.0250470471958
70-Nb3Ga -7.27483315437 16.1149 0.0 -0.729662318616 -0.116205956267
71-Nb3Ge -7.84910699917 11.2167 0.0 -0.66109431606 0.190610770833
72-HfGe2 -8.08483088333 8.5329 0.0 -1.0668332346 -0.329146861226
73-Nb5Ga3 -9.261691825 10.1559 0.0 -0.804124935643 4.50499999993e-06
74-Nb5Ge3 -6.086704685 16.0051 0.0 -0.438223699595 -0.013057139711
75-Nb5GaSn2 -8.87087923583 12.3961 0.0 -0.286924476291 -0.102223325132
76-NbB -8.86767686 9.01887 0.0 -0.958777449565 0.338259367255
77-NbCr2 -6.76016639846 7.96004 0.0 -0.251656004615 -0.028653231753
78-NbGe2 -8.36335057 13.3585 4.163 -2.57038426277 -0.121102909651
79-NbN -8.749983904 9.7947 0.0 -0.714209496 -0.046600496
80-NdB6 -8.45529018143 8.49569 0.0 -0.807460581429 -0.00593564220239
81-NdC2 -7.63790622 13.5082 0.0 -0.17421037125 -0.0726697707095
82-NdMn2Si2 -8.19970342625 13.3649 0.0 -0.33804606 -0.139077853588
83-HoB12 -8.5317131875 12.8217 0.0 -0.46975583375 -0.0885300697605
84-Ni2B -7.6204488775 14.0161 0.0 -0.298452308125 -0.0136465248661
85-Ni3B -6.43962875591 14.9974 0.0 -0.184619089091 0.00982030925662
86-PrB6 -8.16439412667 7.81137 0.0 -0.73208942 -0.0751478336089
87-PrC2 -9.471456405 8.93515 0.0 -0.39242892875 0.0892144965456
88-PrMn2Si2 -11.7313682842 12.6524 0.0 -0.0188716533333 0.0649006953942
89-Re3B 1 -11.7313682842 12.6524 0.0 -0.0188716533333 0.0649006953942
90-Re7B3 -11.21430012 10.5566 0.0 -0.12565864875 -0.111504915733
91-ReB2 -7.8824083325 10.8338 0.0 -0.613578818611 -0.0213372006875
92-Sc2C3 -6.79561655375 24.6337 0.0 -0.72101895625 -0.0679344988032
93-Sc2ReB6 -6.77643339917 23.3348 0.0 -0.774025253056 0.0199819839831
94-HoC2 -6.90573749077 8.06792 0.0 -0.244196598846 -0.0174672410197
95-Sc3Al3C2O5 -3.39228547 20.5811 0.0 -0.2047870125 0.0587637385505
96-ScB12 -6.40434468286 9.98073 0.227 -0.464261692857 -0.283067776496
97-ScB2 -8.49207761667 13.9535 0.0 -0.19255341 0.0669268328186
98-ScRu2 -7.76731598083 9.73038 0.371 -0.653192491667 -0.0910611318838
99-ScRh3C -7.75638541 15.8989 0.0 -0.0629799983333 -0.00615965717329
100-Si2N2O -7.701012958 15.6005 0.0 -0.627410518517 -0.06389754225
101-Si3N4 -8.17740390625 10.3754 0.0 -0.577552267917 -0.012333087887
102-SiC -7.997051594 14.6514 0.0 -0.4991094125 -0.0475715211667
103-SiO2 -6.7970552875 21.663 0.0 -0.8523987025 -0.136385047599
104-Sm2O3 -3.092294485 23.3885 1.499 -0.718694705 -0.467962337445
105-LaB6 -2.67385186833 29.246 1.27 -0.46991728 -0.273981912791
106-SmB6 -8.68248095667 19.3228 0.0 -0.561231136667 -0.0240446763537
107-SmC2 -7.9325972825 20.5646 0.0 -0.36629487375 0.166932972249
108-SmMn2Si2 -7.87570920313 19.9919 0.0 -0.799841765 -0.19638975875
109-SrB6 -7.03446008231 7.77542 0.0 -0.21270752 0.0161432813582
110-SrVO3 -8.29272135667 10.3174 0.0 -0.99168552 -0.499301584266
111-Ta3B2 -9.694133305 13.2391 0.0 -0.81200913375 -0.81200913375
112-Ta3B4 -7.3900351425 19.0236 0.0 -0.804602675 -0.0910652573272
113-TaB -6.52998389833 18.4468 0.0 -0.598464725 -0.0620634780685
114-TaB2 -9.047033175 14.2776 0.0 -0.180040227529 -0.163437959533
115-TaC -10.21876992 18.3976 0.0 -0.137656536667 -0.137656536667
116-LaC2 -10.11862526 12.1578 0.0 -1.78516856767 -0.240744370658
117-TaCr2 -9.49757019 11.9658 3.843 -3.63298243059 -0.737880215257
118-TaN -8.2713528425 15.45 0.0 -0.682506185 0.0013637
119-TbB6 -8.759705365 16.4068 0.0 0.050004725 0.050004725
120-TbMn2Si2 -11.63363386 18.7064 0.0 -0.144438443333 -0.144438443333
121-ThB6 -5.41679611 16.4559 0.0 -0.513263114595 -0.064602669273
122-ThC -8.714716184 14.5493 3.687 -3.62495973253 -0.247380726092
123-ThC2 -6.40800768286 11.1065 0.258 -0.409245888571 -0.409245888571
124-ThRe2 -6.323811252 14.3455 1.032 -2.4423099729 0.000276656
125-Ti3Al -4.68782351333 7.94123 0.0 0.0416381133333 0.0542338337979
126-Ti3GeC2 -6.41924993429 10.1181 0.223 -0.412732437143 -0.126684126406
127-LuAl3 -7.89553469 10.8412 3.768 -3.47697535503 0.002047359
128-Ti3SiC2 -6.89494060571 10.2149 0.0 -0.488515419643 -0.117571629873
129-Ti5Ge3 -7.82012758667 16.7342 0.0 -0.0830199841667 0.0127008226124
130-TiB -6.87665250125 17.8399 0.0 -0.230306225625 0.220891846198
131-TiB2 -7.15363711667 8.71809 0.0 -0.201271256667 0.0721174749443
132-TiC -7.18054083625 9.38073 0.0 -0.19387519125 0.0111665625
133-TiGe2 -7.2938497975 7.71206 0.0 -0.4100835075 -0.219419271561
134-TiMn2 -8.93901473583 9.33886 0.0 -0.374058889167 -0.0023395481086
135-TiN -8.238047487 7.832 0.0 -0.427886947 0.0237263587522
136-TmB12 -8.34883635714 7.96423 0.0 -0.457804891429 0.0152996683027
137-UCO5 -9.4960469525 8.73555 0.0 -0.1041465675 -0.0128625924814
138-LuC2 -8.86520375687 9.13072 0.0 -0.418184676875 -0.00593182396259
139-V3B2 -8.6200426075 8.33064 0.0 -0.5268338275 -0.0834363417462
